name,gender,known_for_department,original_name,popularity
Jack Black,2,Acting,Jack Black,7.295
Margot Robbie,1,Acting,Margot Robbie,8.9872
Pierce Brosnan,2,Acting,Pierce Brosnan,13.402
Truman Hanks,2,Acting,Truman Hanks,10.5068
Sandra Bullock,1,Acting,Sandra Bullock,7.5468
Pedro Pascal,2,Acting,Pedro Pascal,7.8551
Stephanie Cayo,1,Acting,Stephanie Cayo,6.9656
Zhao Lusi,1,Acting,赵露思,7.0533
Mel Gibson,2,Acting,Mel Gibson,7.5322
Song Weilong,2,Acting,宋威龙,7.162
Johnny Depp,2,Acting,Johnny Depp,7.3129
Aline Mineiro,1,Acting,Aline Mineiro,6.7985
Odeya Rush,1,Acting,Odeya Rush,7.3907
Noah Fearnley,2,Acting,Noah Fearnley,7.2928
Go Youn-jung,1,Acting,고윤정,8.0815
Colman Domingo,2,Acting,Colman Domingo,8.4923
Daniel Radcliffe,2,Acting,Daniel Radcliffe,6.9127
Dakota Johnson,1,Acting,Dakota Johnson,7.6247
Cecilia Cheung,1,Acting,張柏芝,8.3425
Kei Fubuki,1,Acting,風吹ケイ,5.4134
Hunter Schafer,1,Acting,Hunter Schafer,9.0583
Shad Moss,2,Acting,Shad Moss,7.8862
İbrahim Çelikkol,2,Acting,İbrahim Çelikkol,7.1544
Halle Berry,1,Acting,Halle Berry,6.9723
Sylvester Stallone,2,Acting,Sylvester Stallone,7.9799
Zendaya,1,Acting,Zendaya,7.6551
Ai Kayano,1,Acting,茅野愛衣,6.5588
Luis Tosar,2,Acting,Luis Tosar,5.1271
Maisie Williams,1,Acting,Maisie Williams,7.0657
Nicolas Cage,2,Acting,Nicolas Cage,7.2126
Timothée Chalamet,2,Acting,Timothée Chalamet,6.3248
Tony Leung Chiu-wai,2,Acting,梁朝偉,7.7462
Garry Pankhurst,2,Acting,Garry Pankhurst,5.1032
Yda Manzano,1,Acting,Yda Manzano,8.2051
Antony Starr,2,Acting,Antony Starr,6.7224
Kate Hudson,1,Acting,Kate Hudson,7.3114
Drew Barrymore,1,Acting,Drew Barrymore,7.0177
Raghava Lawrence,2,Acting,Raghava Lawrence,6.3544
Jeremy Strong,2,Acting,Jeremy Strong,6.5079
Joaquin Phoenix,2,Acting,Joaquin Phoenix,4.9592
Adam Sandler,2,Acting,Adam Sandler,6.511
Mckenna Grace,1,Acting,Mckenna Grace,7.2991
Jamie Lee Curtis,1,Acting,Jamie Lee Curtis,7.2673
Kirsten Dunst,1,Acting,Kirsten Dunst,7.1837
Emin Günenç,2,Acting,Emin Günenç,6.6162
