name,gender,known_for_department,original_name,popularity
Michael Miu Kiu-Wai,2,Acting,苗僑偉,3.5416
Hugh Laurie,2,Acting,Hugh Laurie,3.1043
María Valverde,1,Acting,María Valverde,3.3418
Kappei Yamaguchi,2,Acting,山口勝平,3.2715
Mayumi Tanaka,1,Acting,田中真弓,2.9594
Toshihiko Seki,2,Acting,関俊彦,2.6528
Joey Wong,1,Acting,王祖賢,3.2237
Mark Harmon,2,Acting,Mark Harmon,3.2235
Valeria Nemchenko,1,Acting,Valeria Nemchenko,3.2223
Holly Cattle,1,Acting,Holly Cattle,3.2206
Yoko Hikasa,1,Acting,日笠陽子,2.8334
Ke Huy Quan,2,Acting,Ke Huy Quan,3.2189
Mickey Rourke,2,Acting,Mickey Rourke,3.2181
Ayumi Ito,1,Acting,伊藤歩,3.2179
Justin Theroux,2,Acting,Justin Theroux,3.2169
Arthur Chen,2,Acting,陈飞宇,3.2168
Sarah Gadon,1,Acting,Sarah Gadon,3.2163
Lee Sang-yi,2,Acting,이상이,3.4715
Nicola Coughlan,1,Acting,Nicola Coughlan,2.8793
Lin Yun,1,Acting,林允,3.2139
Junko Takeuchi,1,Acting,竹内順子,3.2092
John Leguizamo,2,Acting,John Leguizamo,3.2083
Andrew Garfield,2,Acting,Andrew Garfield,3.2077
Steve Zahn,2,Acting,Steve Zahn,3.2073
Yuichi Nakamura,2,Acting,中村悠一,2.8297
Christina Hendricks,1,Acting,Christina Hendricks,3.2055
Jeremy Renner,2,Acting,Jeremy Renner,3.072
Nguyễn Phan Linh Đan,1,Camera,Nguyễn Phan Linh Đan,4.2329
Yvonne Yung Hung,1,Acting,翁虹,3.2268
Keeley Hawes,1,Acting,Keeley Hawes,3.2028
Lochlyn Munro,2,Acting,Lochlyn Munro,3.1165
Zhou Yiran,2,Acting,周翊然,2.8495
Tina Fey,1,Acting,Tina Fey,2.9277
Gustaf Skarsgård,2,Acting,Gustaf Skarsgård,2.8471
Keith David,2,Acting,Keith David,3.1006
Kit Harington,2,Acting,Kit Harington,2.9665
吴 梦梦,1,Acting,吴 梦梦,3.3071
Leslie Bibb,1,Acting,Leslie Bibb,3.0386
Danielle Panabaker,1,Acting,Danielle Panabaker,3.486
Ángela Contreras,1,Acting,Ángela Contreras,5.1931
Amitabh Bachchan,2,Acting,Amitabh Bachchan,2.7902
Finn Cole,2,Acting,Finn Cole,3.3142
Simon Yam,2,Acting,任達華,2.9736
Ryan Cheng,2,Acting,丞磊,2.9111
Hao Lei,1,Acting,郝蕾,2.7552
Yeung Fan,1,Acting,楊梵,3.2436
Atsuko Takahata,1,Acting,高畑淳子,2.7921
Johnny Dorelli,2,Acting,Johnny Dorelli,2.5874
Suzy,1,Acting,수지,3.358
Lee Pace,2,Acting,Lee Pace,2.8004
Kim Hye-yoon,1,Acting,김혜윤,3.3876
Katee Sackhoff,1,Acting,Katee Sackhoff,3.1425
Whoopi Goldberg,1,Acting,Whoopi Goldberg,3.3678
Barry Keoghan,2,Acting,Barry Keoghan,2.8892
Naomi Watts,1,Acting,Naomi Watts,3.1472
Thandiwe Newton,1,Acting,Thandiwe Newton,3.2805
MyAnna Buring,1,Acting,MyAnna Buring,3.8371
Odette Annable,1,Acting,Odette Annable,3.1318
Yoo Yeon-seok,2,Acting,유연석,3.1302
Anna Kendrick,1,Acting,Anna Kendrick,3.3599
Joaquim de Almeida,2,Acting,Joaquim de Almeida,2.8319
Seth MacFarlane,2,Acting,Seth MacFarlane,3.1017
Asami Mizukawa,1,Acting,水川あさみ,3.3213
Judith Hoersch,1,Acting,Judith Hoersch,2.3277
Benicio del Toro,2,Acting,Benicio del Toro,3.0053
Blake Lively,1,Acting,Blake Lively,2.9933
Lee El,1,Acting,이엘,2.7904
Ishaan Khatter,2,Acting,ईशान खट्टर,3.347
Ian McShane,2,Acting,Ian McShane,3.5221
Sophie Nélisse,1,Acting,Sophie Nélisse,3.4009
Ving Rhames,2,Acting,Ving Rhames,3.0775
Oliver Platt,2,Acting,Oliver Platt,2.8636
Kalyani Priyadarshan,1,Acting,കല്യാണി പ്രിയദർശൻ,3.4463
Seth Green,2,Acting,Seth Green,3.0018
Prabhas,2,Acting,Prabhas,3.064
Adam DiMarco,2,Acting,Adam DiMarco,3.1663
Maggie Q,1,Acting,Maggie Q,3.1638
Junko Takeuchi,1,Acting,竹内順子,3.2092
Keke Palmer,1,Acting,Keke Palmer,2.916
Lilián García,1,Acting,Lilián García,1.4501
Joko Anwar,2,Directing,Joko Anwar,2.4334
Sophia Crawford,1,Acting,Sophia Crawford,1.5625
Gong Yoo,2,Acting,공유,3.1383
Macaulay Culkin,2,Acting,Macaulay Culkin,3.0918
Renee Rea,1,Acting,Renee Rea,3.2923
Jaime Murray,1,Acting,Jaime Murray,3.2958
Rachel Brosnahan,1,Acting,Rachel Brosnahan,3.1184
Lochlyn Munro,2,Acting,Lochlyn Munro,3.1165
Hiro Shimono,2,Acting,下野紘,3.1139
Hayden Panettiere,1,Acting,Hayden Panettiere,3.111
Caleb McLaughlin,2,Acting,Caleb McLaughlin,3.1104
Alexander Ludwig,2,Acting,Alexander Ludwig,3.1103
Bob Odenkirk,2,Acting,Bob Odenkirk,3.1094
Alona Tal,1,Acting,Alona Tal,3.1062
Honor Blackman,1,Acting,Honor Blackman,3.1057
Mert Ramazan Demir,2,Acting,Mert Ramazan Demir,2.9848
Hugh Laurie,2,Acting,Hugh Laurie,3.1043
Manuel Luís Goucha,2,Acting,Manuel Luís Goucha,2.3116
Seth MacFarlane,2,Acting,Seth MacFarlane,3.1017
Keith David,2,Acting,Keith David,3.1006
Matt Dillon,2,Acting,Matt Dillon,3.0994
Asuka Saito,1,Acting,齋藤飛鳥,3.0977
Shota Sometani,2,Acting,染谷将太,3.0952
Vincent Cassel,2,Acting,Vincent Cassel,3.0951
Tuba Büyüküstün,1,Acting,Tuba Büyüküstün,3.0946
Kang Min-woo,2,Acting,Kang Min-woo,2.7916
Orlando Bloom,2,Acting,Orlando Bloom,3.2352
Danny Ramirez,2,Acting,Danny Ramirez,2.5194
Xiao Zhan,2,Acting,肖战,2.8913
Chris Pine,2,Acting,Chris Pine,2.8594
Rashmika Mandanna,1,Acting,Rashmika Mandanna,2.7154
Joe Pesci,2,Acting,Joe Pesci,3.0088
Jeremy Davies,2,Acting,Jeremy Davies,4.0197
Samantha Morton,1,Acting,Samantha Morton,2.5185
Yoko Hikasa,1,Acting,日笠陽子,2.8334
Liu Haocun,1,Acting,刘浩存,2.6877
Hayley Atwell,1,Acting,Hayley Atwell,2.9654
Norman Reedus,2,Acting,Norman Reedus,2.8719
Lee Sang-yi,2,Acting,이상이,3.4715
Sela Ward,1,Acting,Sela Ward,2.9064
Nicola Coughlan,1,Acting,Nicola Coughlan,2.8793
Francis Ng Chun-Yu,2,Acting,吳鎮宇,2.5903
Louis Koo,2,Acting,古天樂,3.3519
Rajat Bedi,2,Acting,Rajat Bedi,1.5216
Diego Luna,2,Acting,Diego Luna,2.7206
Riho Yoshioka,1,Acting,吉岡里帆,2.7205
Lee Yuet-Sin,1,Acting,李月仙,3.4824
Abbie Cornish,1,Acting,Abbie Cornish,2.8798
Susana Giménez,1,Acting,Susana Giménez,4.1564
Ayanna Misola,1,Acting,Ayanna Misola,3.5669
Ha Ji-won,1,Acting,하지원,3.0893
Gloria Lam Suk-Yan,1,Acting,Gloria Lam Suk-Yan,1.8509
Kareena Kapoor Khan,1,Acting,करीना कपूर खान,2.9617
Dhanush,2,Acting,Dhanush,3.3445
Romi Park,1,Acting,朴璐美,2.8715
Alona Tal,1,Acting,Alona Tal,3.1062
Parker Posey,1,Acting,Parker Posey,3.3347
Ikue Otani,1,Acting,大谷育江,2.7867
Camila Morrone,1,Acting,Camila Morrone,3.0334
Justin Berfield,2,Acting,Justin Berfield,2.7539
Will Ferrell,2,Acting,Will Ferrell,2.8956
Tricia Helfer,1,Acting,Tricia Helfer,2.6938
Mickey Rourke,2,Acting,Mickey Rourke,3.2181
Evan Peters,2,Acting,Evan Peters,3.1701
Saoirse Ronan,1,Acting,Saoirse Ronan,2.9004
Ahn Hyo-seop,2,Acting,안효섭,3.0409
Mickey Rourke,2,Acting,Mickey Rourke,3.2181
Evan Peters,2,Acting,Evan Peters,3.1701
Saoirse Ronan,1,Acting,Saoirse Ronan,2.9004
Ahn Hyo-seop,2,Acting,안효섭,3.0409
Satoshi Hino,2,Acting,日野聡,2.6585
Dominique McElligott,1,Acting,Dominique McElligott,3.0764
Lee Cronin,2,Directing,Lee Cronin,2.579
Ayumi Ito,1,Acting,伊藤歩,3.2179
Jonathan Banks,2,Acting,Jonathan Banks,2.8433
Indira Varma,1,Acting,Indira Varma,2.7992
Jodi Lyn O'Keefe,1,Acting,Jodi Lyn O'Keefe,2.839
Francesca Manzini,1,Acting,Francesca Manzini,2.4697
Guillermo del Toro,2,Directing,Guillermo del Toro,2.6276
Alida Valli,1,Acting,Alida Valli,1.6345
Kaya Scodelario,1,Acting,Kaya Scodelario,2.8392
Farrah Fawcett,1,Acting,Farrah Fawcett,2.9408
Wilson Bethel,2,Acting,Wilson Bethel,2.893
Gemma Arterton,1,Acting,Gemma Arterton,3.7411
Takeru Satoh,2,Acting,佐藤健,3.0733
Krista Allen,1,Acting,Krista Allen,2.7723
Bruna Marquezine,1,Acting,Bruna Marquezine,3.0197
Philippe Leroy,2,Acting,Philippe Leroy,3.0191
Felicity Jones,1,Acting,Felicity Jones,3.0177
Martha Millan,1,Acting,Martha Millan,3.0157
Cary Elwes,2,Acting,Cary Elwes,3.0136
David Tennant,2,Acting,David Tennant,3.0109
Matt Clark,2,Acting,Matt Clark,3.0103
Lauren Lapkus,1,Acting,Lauren Lapkus,3.0102
Nell Fisher,1,Acting,Nell Fisher,3.01
Joe Pesci,2,Acting,Joe Pesci,3.0088
Benicio del Toro,2,Acting,Benicio del Toro,3.0053
John Wayne,2,Acting,John Wayne,3.0043
Priyanka Chopra Jonas,1,Acting,Priyanka Chopra Jonas,3.0034
Jun Shison,2,Acting,志尊淳,2.6074
Seth Green,2,Acting,Seth Green,3.0018
Denise Richards,1,Acting,Denise Richards,3.0017
Wioleta Przystarz,1,Acting,Wioleta Przystarz,1.3381
Susan Heyward,1,Acting,Susan Heyward,2.6346
John Hurt,2,Acting,John Hurt,2.9996
Olivia Colman,1,Acting,Olivia Colman,2.9973
Barış Baktaş,2,Acting,Barış Baktaş,2.8076
Walker Scobell,2,Acting,Walker Scobell,3.2468
Carrie Coon,1,Acting,Carrie Coon,3.2015
Matt Clark,2,Acting,Matt Clark,3.0103
Leslie Mann,1,Acting,Leslie Mann,2.9756
Yumi Yoshiyuki,1,Acting,吉行由実,3.9038
Ryotaro Okiayu,2,Acting,置鮎龍太郎,2.7662
Jennifer Garner,1,Acting,Jennifer Garner,3.2007
Charlton Heston,2,Acting,Charlton Heston,2.9872
Stephen Lang,2,Acting,Stephen Lang,3.1211
Alexandra Breckenridge,1,Acting,Alexandra Breckenridge,2.6663
Miyu Irino,2,Acting,入野自由,2.7184
John Hurt,2,Acting,John Hurt,2.9996
Gigi Proietti,2,Acting,Gigi Proietti,2.4646
Tomokazu Seki,2,Acting,関智一,2.9151
Konomi Suzuki,1,Sound,鈴木このみ,2.2024
Hochu Otsuka,2,Acting,大塚芳忠,2.7917
Christina Hendricks,1,Acting,Christina Hendricks,3.2055
Santiago Cabrera,2,Acting,Santiago Cabrera,2.7184
Aaron Paul,2,Acting,Aaron Paul,2.9447
Leslie Mann,1,Acting,Leslie Mann,2.9756
Liam Hemsworth,2,Acting,Liam Hemsworth,2.9749
Apphle Celso,0,Acting,Apphle Celso,2.9743
Marina Ruy Barbosa,1,Acting,Marina Ruy Barbosa,2.9742
Shen Yue,1,Acting,沈月,2.5878
Simon Yam,2,Acting,任達華,2.9736
Horst Buchholz,2,Acting,Horst Buchholz,2.9705
Alexander Skarsgård,2,Acting,Alexander Skarsgård,2.9703
Jameela Jamil,1,Acting,Jameela Jamil,2.967
Matt Bomer,2,Acting,Matt Bomer,2.9667
Kit Harington,2,Acting,Kit Harington,2.9665
Hayley Atwell,1,Acting,Hayley Atwell,2.9654
Nico Locco,2,Acting,Nico Locco,2.9643
Ko Shibasaki,1,Acting,柴咲コウ,2.9642
Billy Burke,2,Acting,Billy Burke,2.9635
Risa Mizuno,1,Acting,水野理紗,2.9622
Keith Carradine,2,Acting,Keith Carradine,2.9622
Gordon Tootoosis,2,Acting,Gordon Tootoosis,2.9618
Kareena Kapoor Khan,1,Acting,करीना कपूर खान,2.9617
Mayumi Tanaka,1,Acting,田中真弓,2.9594
Mert Ramazan Demir,2,Acting,Mert Ramazan Demir,2.9848
Shohreh Aghdashloo,1,Acting,Shohreh Aghdashloo,2.8467
Rupert Friend,2,Acting,Rupert Friend,2.912
Tomokazu Sugita,2,Acting,杉田智和,2.6988
Manuel Luís Goucha,2,Acting,Manuel Luís Goucha,2.3116
Ruth Gemmell,1,Acting,Ruth Gemmell,2.9394
Michael Keaton,2,Acting,Michael Keaton,3.0288
Yukari Tamura,1,Acting,田村ゆかり,2.762
Judy Greer,1,Acting,Judy Greer,2.7975
Alexander Ludwig,2,Acting,Alexander Ludwig,3.1103
Matthew Lillard,2,Acting,Matthew Lillard,3.2654
Dónal Finn,2,Acting,Dónal Finn,2.4277
Titus Welliver,2,Acting,Titus Welliver,2.6362
Alanna Ubach,1,Acting,Alanna Ubach,3.2458
Colin Hanks,2,Acting,Colin Hanks,3.4294
Kang Min-woo,2,Acting,Kang Min-woo,2.7916
Adrianne Palicki,1,Acting,Adrianne Palicki,2.7953
Joey Wong,1,Acting,王祖賢,3.2237
Katy O'Brian,1,Acting,Katy O'Brian,3.077
Amy Smart,1,Acting,Amy Smart,3.1386
Maggie Gyllenhaal,1,Acting,Maggie Gyllenhaal,2.7144
Luke Grimes,2,Acting,Luke Grimes,3.0404
Kıvanç Tatlıtuğ,2,Acting,Kıvanç Tatlıtuğ,3.051
Saula Benavente,0,Production,Saula Benavente,1.5929
Nao Toyama,1,Acting,東山奈央,2.8613
Evangeline Lilly,1,Acting,Evangeline Lilly,3.0292
Henry Winkler,2,Acting,Henry Winkler,2.7161
Yoshimasa Hosoya,2,Acting,細谷佳正,2.8463
Park Bo-gum,2,Acting,박보검,3.0501
Alejandro Speitzer,2,Acting,Alejandro Speitzer,2.5079
Ko Shibasaki,1,Acting,柴咲コウ,2.9642
Alexander Skarsgård,2,Acting,Alexander Skarsgård,2.9703
Wallace Chung,2,Acting,鍾漢良,3.2167
Penélope Cruz,1,Acting,Penélope Cruz,3.0609
Natsuko Takahashi,1,Writing,高橋ナツコ,2.3852
Maaya Uchida,1,Acting,内田真礼,3.1271
Regé-Jean Page,2,Acting,Regé-Jean Page,2.7044
Shin-ichiro Miki,2,Acting,三木眞一郎,2.601
Sophie Ngan Chin-Man,1,Acting,顏仟汶,2.8182
Malin Åkerman,1,Acting,Malin Åkerman,2.8214
Sena Natsuki,1,Acting,奈月セナ,4.8112
Song Yuqi,1,Acting,宋雨琦,2.8891
Miryam Gallego,1,Acting,Miryam Gallego,2.756
Eva Mendes,1,Acting,Eva Mendes,2.9367
C. Thomas Howell,2,Acting,C. Thomas Howell,2.7542
Ah Ri,1,Acting,Ah Ri,3.0769
Allison Janney,1,Acting,Allison Janney,2.8872
Tom Wlaschiha,2,Acting,Tom Wlaschiha,2.8904
Risa Mizuno,1,Acting,水野理紗,2.9622
Jeremy Piven,2,Acting,Jeremy Piven,2.771
Linda Evans,1,Acting,Linda Evans,2.9342
Kaitlyn Dever,1,Acting,Kaitlyn Dever,2.6664
Patrick Schwarzenegger,2,Acting,Patrick Schwarzenegger,3.0242
Tania Raymonde,1,Acting,Tania Raymonde,3.5229
Peter Stormare,2,Acting,Peter Stormare,2.596
Rie Kugimiya,1,Acting,釘宮理恵,2.3627
Oliver Hudson,2,Acting,Oliver Hudson,2.819
Yu Rongguang,2,Acting,于荣光,3.1803
Kim Ji-won,1,Acting,김지원,2.7667
Daniel Day-Lewis,2,Acting,Daniel Day-Lewis,2.8468
Peter Gardiner,2,Acting,Peter Gardiner,2.9039
Michael J. Fox,2,Acting,Michael J. Fox,2.9036
Liev Schreiber,2,Acting,Liev Schreiber,2.9021
Ülkü Hilal Çiftçi,1,Acting,Ülkü Hilal Çiftçi,2.5765
Saoirse Ronan,1,Acting,Saoirse Ronan,2.9004
Tatiana Maslany,1,Acting,Tatiana Maslany,2.8997
John Lithgow,2,Acting,John Lithgow,2.8996
Michelle Yeoh,1,Acting,Michelle Yeoh,2.8972
Will Ferrell,2,Acting,Will Ferrell,2.8956
Wilson Bethel,2,Acting,Wilson Bethel,2.893
Kate del Castillo,1,Acting,Kate del Castillo,2.893
Xiao Zhan,2,Acting,肖战,2.8913
Tom Wlaschiha,2,Acting,Tom Wlaschiha,2.8904
Mariya Ise,1,Acting,伊瀬茉莉也,2.5636
Maaya Sakamoto,1,Acting,坂本真綾,2.8894
Song Yuqi,1,Acting,宋雨琦,2.8891
Allison Janney,1,Acting,Allison Janney,2.8872
Sterling K. Brown,2,Acting,Sterling K. Brown,2.675
Gina Gershon,1,Acting,Gina Gershon,2.8848
Rosario Dawson,1,Acting,Rosario Dawson,2.8843
Alan Cumming,2,Acting,Alan Cumming,2.7834
Amanda Tapping,1,Acting,Amanda Tapping,2.2326
Priyanka Chopra Jonas,1,Acting,Priyanka Chopra Jonas,3.0034
Michael Rapaport,2,Acting,Michael Rapaport,2.5615
Rie Takahashi,1,Acting,高橋李依,2.7342
Kris Van Damme,2,Acting,Kris Van Damme,2.8592
Dawn Olivieri,1,Acting,Dawn Olivieri,2.7437
Mary-Louise Parker,1,Acting,Mary-Louise Parker,2.668
John Wayne,2,Acting,John Wayne,3.0043
Cindy Yip Sin-Yi,1,Acting,葉先兒,2.8791
Tomer Capone,2,Acting,תומר קאפון,2.7521
Vic Armstrong,2,Crew,Vic Armstrong,1.2476
Angela Bassett,1,Acting,Angela Bassett,2.9321
Wang Xingchen,1,Acting,王星辰,2.624
Kerry Washington,1,Acting,Kerry Washington,2.5348
Hakan Çelebi,2,Acting,Hakan Çelebi,2.854
Dustin Hoffman,2,Acting,Dustin Hoffman,3.7018
Lisa Kudrow,1,Acting,Lisa Kudrow,2.7546
Amanda Righetti,1,Acting,Amanda Righetti,2.5377
Taka Katou,2,Acting,加藤鷹,2.9775
Will Poulter,2,Acting,Will Poulter,2.8664
Ninh Dương Lan Ngọc,1,Acting,Ninh Dương Lan Ngọc,6.5732
Bill Pullman,2,Acting,Bill Pullman,2.8655
Toshirō Mifune,2,Acting,三船敏郎,2.8649
Yasuko Tomita,1,Acting,富田靖子,2.2982
Amy Schumer,1,Acting,Amy Schumer,2.8641
Oliver Platt,2,Acting,Oliver Platt,2.8636
Zach McGowan,2,Acting,Zach McGowan,2.863
Skyler Gisondo,2,Acting,Skyler Gisondo,2.863
Gugu Mbatha-Raw,1,Acting,Gugu Mbatha-Raw,2.9972
Nao Toyama,1,Acting,東山奈央,2.8613
Bob Burns,2,Acting,Bob Burns,2.8609
James Remar,2,Acting,James Remar,2.8596
Chris Pine,2,Acting,Chris Pine,2.8594
Kris Van Damme,2,Acting,Kris Van Damme,2.8592
Mädchen Amick,1,Acting,Mädchen Amick,2.8587
Paul Giamatti,2,Acting,Paul Giamatti,2.8587
David Alpay,2,Acting,David Alpay,2.8581
Paty Cofré,1,Acting,Paty Cofré,1.4475
Jason Lee,2,Acting,Jason Lee,2.8552
Ayana Taketatsu,1,Acting,竹達彩奈,2.854
Shae Marks,1,Acting,Shae Marks,2.8537
Peter Svatek,2,Directing,Peter Svatek,2.8517
Jamie Campbell Bower,2,Acting,Jamie Campbell Bower,2.8514
Tsutomu Yamazaki,2,Acting,山崎努,2.8499
Zhou Yiran,2,Acting,周翊然,2.8495
Ju Jingyi,1,Acting,鞠婧祎,2.8482
Peter Jackson,2,Directing,Peter Jackson,2.8479
Diane Kruger,1,Acting,Diane Kruger,2.8473
Gustaf Skarsgård,2,Acting,Gustaf Skarsgård,2.8471
Daniel Day-Lewis,2,Acting,Daniel Day-Lewis,2.8468
Shohreh Aghdashloo,1,Acting,Shohreh Aghdashloo,2.8467
Bill Hader,2,Acting,Bill Hader,2.8456
Yui Aragaki,1,Acting,新垣結衣,2.8453
Megan Boone,1,Acting,Megan Boone,2.8444
Chiaki Kobayashi,2,Acting,小林千晃,2.8438
Park Seo-jun,2,Acting,박서준,2.7704
Jonathan Banks,2,Acting,Jonathan Banks,2.8433
Keiko Toda,1,Acting,戸田恵子,2.8431
Rikiya Koyama,2,Acting,小山力也,2.8425
Kenichi Suzumura,2,Acting,鈴村健一,2.5174
Elizabeth Perkins,1,Acting,Elizabeth Perkins,2.7381
Melissa McCarthy,1,Acting,Melissa McCarthy,2.6973
Adah Sharma,1,Acting,Adah Sharma,2.6467
Shen Yue,1,Acting,沈月,2.5878
Bruno Ganz,2,Acting,Bruno Ganz,2.8825
Octavia Spencer,1,Acting,Octavia Spencer,2.6499
Apphle Celso,0,Acting,Apphle Celso,2.9743
Chadwick Boseman,2,Acting,Chadwick Boseman,2.6
Ginnifer Goodwin,1,Acting,Ginnifer Goodwin,2.7094
John Cleese,2,Acting,John Cleese,2.7027
Yuma Uchida,2,Acting,内田雄馬,2.6935
Yu Kobayashi,1,Acting,小林ゆう,2.514
Liana Liberato,1,Acting,Liana Liberato,2.6246
Austin Butler,2,Acting,Austin Butler,2.9495
Amanda Schull,1,Acting,Amanda Schull,2.798
AnnaSophia Robb,1,Acting,AnnaSophia Robb,2.6874
Kōji Wakamatsu,2,Directing,若松孝二,2.4192
Michael C. Hall,2,Acting,Michael C. Hall,2.4817
Ariana Grande,1,Acting,Ariana Grande,2.4883
Maddie Ziegler,1,Acting,Maddie Ziegler,2.8183
Sophie Ngan Chin-Man,1,Acting,顏仟汶,2.8182
Mackenzie Davis,1,Acting,Mackenzie Davis,2.8181
Rachanun Mahawan,1,Acting,รชานันท์ มหาวรรณ์,2.8173
Jean Smart,1,Acting,Jean Smart,2.8173
Misaki Kuno,1,Acting,久野美咲,2.8172
Lee Sul-ah,1,Acting,이설아,2.8168
Huh Joon-ho,2,Acting,허준호,2.8163
Kathy Bates,1,Acting,Kathy Bates,2.816
Christopher Lee,2,Acting,Christopher Lee,2.8151
Rufus Sewell,2,Acting,Rufus Sewell,2.8136
Brahmanandam,2,Acting,Brahmanandam,2.8129
Haruka Ayase,1,Acting,綾瀬はるか,2.8126
Avery Konrad,1,Acting,Avery Konrad,2.8108
Tom Ellis,2,Acting,Tom Ellis,2.8104
Minnie Driver,1,Acting,Minnie Driver,2.8104
Barış Baktaş,2,Acting,Barış Baktaş,2.8076
Roselyn Sánchez,1,Acting,Roselyn Sánchez,2.8064
Marlon Brando,2,Acting,Marlon Brando,2.8064
Zhan Xuan,2,Acting,展轩,2.8046
Jimmy Karz,2,Acting,Jimmy Karz,1.3999
Michael Shannon,2,Acting,Michael Shannon,3.0249
Zhan Xuan,2,Acting,展轩,2.8046
Yuko Oshima,1,Acting,大島優子,3.051
Paul Newman,2,Acting,Paul Newman,2.6922
Luis Guzmán,2,Acting,Luis Guzmán,2.7739
Agnes Naomi,1,Acting,Agnes Naomi,1.139
Arnold Vosloo,2,Acting,Arnold Vosloo,2.5792
Kim Seon-ho,2,Acting,김선호,2.7702
Mary Marquet,1,Acting,Mary Marquet,1.2601
Adam Scott,2,Acting,Adam Scott,3.076
Zhang Ziyi,1,Acting,章子怡,2.8312
Sai Tamhankar,1,Acting,Sai Tamhankar,2.9369
Sung Yeon,1,Acting,Sung Yeon,3.2039
Dylan Minnette,2,Acting,Dylan Minnette,2.9356
Takumi Saitoh,2,Acting,斎藤工,2.3994
Lee Jin-uk,2,Acting,이진욱,2.9248
Dina Meyer,1,Acting,Dina Meyer,2.5089
Sophie Thatcher,1,Acting,Sophie Thatcher,2.7447
Robert Sean Leonard,2,Acting,Robert Sean Leonard,2.3584
Zhang Miaoyi,1,Acting,張淼怡,2.6842
Zhao Liying,1,Acting,赵丽颖,3.0713
Barbara Anderson,1,Acting,Barbara Anderson,2.6658
Rosario Dawson,1,Acting,Rosario Dawson,2.8843
Lana Rhodes,1,Acting,Lana Rhodes,2.7565
Hazal Subaşı,1,Acting,Hazal Subaşı,3.392
John Higgins,2,Acting,John Higgins,1.1201
Ayumu Murase,2,Acting,村瀬歩,2.6413
Ayana Taketatsu,1,Acting,竹達彩奈,2.854
Toshiyuki Morikawa,2,Acting,森川智之,2.4618
Bridget Moynahan,1,Acting,Bridget Moynahan,3.2921
Mackenzie Davis,1,Acting,Mackenzie Davis,2.8181
Juliette Binoche,1,Acting,Juliette Binoche,2.6958
Peter Weller,2,Acting,Peter Weller,2.7258
Yusuke Kobayashi,2,Acting,小林裕介,2.4642
Pinky Cheung Man-Chi,1,Acting,張文慈,2.7738
Jenna Coleman,1,Acting,Jenna Coleman,3.3523
Zhang Ruonan,1,Acting,章若楠,2.8041
Yeo Yann Yann,1,Acting,楊雁雁,2.0132
Shemar Moore,2,Acting,Shemar Moore,2.5334
Peter Weller,2,Acting,Peter Weller,2.7258
Yusuke Kobayashi,2,Acting,小林裕介,2.4642
Pinky Cheung Man-Chi,1,Acting,張文慈,2.7738
Jenna Coleman,1,Acting,Jenna Coleman,3.3523
Zhang Ruonan,1,Acting,章若楠,2.8041
Yeo Yann Yann,1,Acting,楊雁雁,2.0132
Shemar Moore,2,Acting,Shemar Moore,2.5334
Nick Nolte,2,Acting,Nick Nolte,2.5596
Rebecca Hall,1,Acting,Rebecca Hall,2.5085
Lisa Edelstein,1,Acting,Lisa Edelstein,2.8752
Bonnie Somerville,1,Acting,Bonnie Somerville,2.3218
Nana Mizuki,1,Acting,水樹奈々,2.7372
Catarina Gonçalves,1,Directing,Catarina Gonçalves,3.0297
Diane Kruger,1,Acting,Diane Kruger,2.8473
Mikako Komatsu,1,Acting,小松未可子,2.5604
Heather Feeney,1,Acting,Heather Feeney,1.2159
Casey Affleck,2,Acting,Casey Affleck,2.8287
Karl Willetts,2,Acting,Karl Willetts,2.6639
Chiaki Kobayashi,2,Acting,小林千晃,2.8438
Sarah Michelle Gellar,1,Acting,Sarah Michelle Gellar,2.2577
Nick Zano,2,Acting,Nick Zano,2.7806
Hazuki Kimura,1,Acting,木村葉月,2.7804
Richard Donat,2,Acting,Richard Donat,2.7804
Yang Yang,2,Acting,杨洋,2.7803
James Wan,2,Directing,James Wan,2.7801
Gaten Matarazzo,2,Acting,Gaten Matarazzo,2.7796
Nao Saejima,1,Acting,冴島奈緒,2.7787
Marcie Ulin,0,Writing,Marcie Ulin,1.053
Li Xiaoran,1,Acting,李小冉,2.7752
Anjali,1,Acting,Anjali,2.7739
Luis Guzmán,2,Acting,Luis Guzmán,2.7739
Pinky Cheung Man-Chi,1,Acting,張文慈,2.7738
Aya Cash,1,Acting,Aya Cash,2.7723
Krista Allen,1,Acting,Krista Allen,2.7723
Jeremy Piven,2,Acting,Jeremy Piven,2.771
Narges Takesh,0,Writing,Narges Takesh,1.2071
Kevin Leslie,2,Acting,Kevin Leslie,2.7704
Stan Lee,2,Writing,Stan Lee,2.7687
Michael Fassbender,2,Acting,Michael Fassbender,2.7682
Satomi Arai,1,Acting,新井里美,2.7674
Mariya Ise,1,Acting,伊瀬茉莉也,2.5636
Amy Acker,1,Acting,Amy Acker,3.0321
Jared Harris,2,Acting,Jared Harris,2.511
Mahershala Ali,2,Acting,Mahershala Ali,2.2842
Monica Barbaro,1,Acting,Monica Barbaro,2.887
Baltasar Kormákur,2,Directing,Baltasar Kormákur,2.4416
Bryan Leung Kar-Yan,2,Acting,梁家仁,2.5176
Hania Aamir,1,Acting,Hania Aamir,2.6337
Sterling K. Brown,2,Acting,Sterling K. Brown,2.675
